"Facts and events (GOV)";"Tatsachen und Ereignisse (GOV)"
"A tab showing the facts and events of an individual, enhanced with GOV data.";"Ein Reiter zur Anzeige der Fakten und Ereignisse einer Person, um GOV-Daten ergänzt."
"Reset";"zurücksetzen"
"No GOV id set for '%1$s'%2$s!";"Keine GOV-ID für '%1$s'%2$s gesetzt!"
"Reset GOV id for '%1$s'%2$s and reload the place hierarchy:";"GOV-ID für '%1$s'%2$s zurücksetzen und die Ortshierarchie neu laden:"
"GOV id set via GEDCOM and not editable here! Reload the place hierarchy:";"GOV-ID (gesetzt via GEDCOM) ist hier nicht editierbar! Ortshierarchie neu laden:"
"Set id";"ID setzen"
"Reset id";"ID zurücksetzen"
"Reload";"neu laden"
"Invalid GOV id! Valid ids are e.g. 'EITTZE_W3091', 'object_1086218'. See the GOV website.";"Keine zulässige GOV-ID! Zulässige IDs haben die Form 'EITTZE_W3091', 'object_1086218' etc. Weiteres auf der GOV-Webseite."
"Invalid GOV id set via GEDCOM! Edit the GEDCOM!";"Keine zulässige GOV-ID (gesetzt via GEDCOM)! Editiere direkt im GEDCOM!"
"use separate parish GOV id if appropriate";"Verwende ggf. separate GOV-ID für den Ort als Kirchspiel"
"today";"heute"
"Administrative levels";"Verwaltungsebenen"
